factor,beta,se_nw,t_stat,p_value,annualised_alpha,r_squared,adj_r_squared,n_months,variant,column
alpha (intercept),0.01806619782366934,0.007677053863273624,2.353272250712803,0.01860900362689955,0.23968748564890863,0.21890227941004226,0.03143882646845242,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
Mkt-RF,-0.33843218606629644,0.22735554856705406,-1.4885591673452496,0.13660349077014464,,0.21890227941004226,0.03143882646845242,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
SMB,0.6443691988434008,0.21743888169312092,2.9634497465491085,0.003042117301472461,,0.21890227941004226,0.03143882646845242,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
HML,-0.5181799010577369,0.3375754261543383,-1.5350048045879587,0.12478264786205018,,0.21890227941004226,0.03143882646845242,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
RMW,-0.1286891387138225,0.22285439901386742,-0.5774583731946644,0.5636298510574007,,0.21890227941004226,0.03143882646845242,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
CMA,-0.10071458037442835,0.25918061598320663,-0.3885883980650546,0.6975806505860065,,0.21890227941004226,0.03143882646845242,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
MOM,0.13013347570217182,0.16034136052728684,0.8116026661756169,0.41701966093196363,,0.21890227941004226,0.03143882646845242,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
alpha (intercept),0.018991524841518295,0.007411120541769636,2.5625713054430332,0.010390025001738138,0.25327640339202695,0.25323755448118346,0.07401456755666747,32,Static L/S (robustness),static_net_20bp
Mkt-RF,-0.333510292359508,0.20906786172753192,-1.5952250604359073,0.11066191663966073,,0.25323755448118346,0.07401456755666747,32,Static L/S (robustness),static_net_20bp
SMB,0.6634709253405241,0.19093293279651477,3.4748899292696294,0.0005110630065850479,,0.25323755448118346,0.07401456755666747,32,Static L/S (robustness),static_net_20bp
HML,-0.5577757200518548,0.30240223890044177,-1.844482772614287,0.06511281419943916,,0.25323755448118346,0.07401456755666747,32,Static L/S (robustness),static_net_20bp
RMW,-0.1589248584697717,0.22133891463257035,-0.7180158931094065,0.47274748736273375,,0.25323755448118346,0.07401456755666747,32,Static L/S (robustness),static_net_20bp
CMA,-0.0923996703877637,0.2590022922452058,-0.35675232673340956,0.7212772285587417,,0.25323755448118346,0.07401456755666747,32,Static L/S (robustness),static_net_20bp
MOM,0.1209376454547775,0.15744036330765965,0.7681489226396733,0.4423987146360082,,0.25323755448118346,0.07401456755666747,32,Static L/S (robustness),static_net_20bp
